optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
hybrid_phase1_2,5,5,0.0,0.9999999999999998,True,0.0019953250885009766,E10_real_variance,GHZ,5,5,5,1,142,5
template_phase2b,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,1,142,5
greedy_phase1,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,2,242,5
commutation_phase2,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,2,242,5
hybrid_phase1_2,5,5,0.0,0.9999999999999998,True,0.0039081573486328125,E10_real_variance,GHZ,5,5,5,2,242,5
template_phase2b,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,2,242,5
greedy_phase1,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,3,342,5
commutation_phase2,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,3,342,5
hybrid_phase1_2,5,5,0.0,0.9999999999999998,True,0.0030651092529296875,E10_real_variance,GHZ,5,5,5,3,342,5
template_phase2b,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,3,342,5
greedy_phase1,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,4,442,5
commutation_phase2,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,4,442,5
hybrid_phase1_2,5,5,0.0,0.9999999999999998,True,0.0030059814453125,E10_real_variance,GHZ,5,5,5,4,442,5
template_phase2b,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,4,442,5
greedy_phase1,6,6,0.0,0.9999999999999998,True,0.0009918212890625,E10_real_variance,GHZ,6,6,6,0,42,6
commutation_phase2,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,0,42,6
hybrid_phase1_2,6,6,0.0,0.9999999999999998,True,0.00499725341796875,E10_real_variance,GHZ,6,6,6,0,42,6
template_phase2b,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,0,42,6
greedy_phase1,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,1,142,6
commutation_phase2,6,6,0.0,0.9999999999999998,True,0.0009169578552246094,E10_real_variance,GHZ,6,6,6,1,142,6
hybrid_phase1_2,6,6,0.0,0.9999999999999998,True,0.005918979644775391,E10_real_variance,GHZ,6,6,6,1,142,6
template_phase2b,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,1,142,6
greedy_phase1,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,2,242,6
commutation_phase2,6,6,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,6,6,6,2,242,6
