experiment,run_id,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999984,exact,True,0.0010037422180175781,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999984,exact,True,0.0009987354278564453,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999984,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999996,exact,True,0.0009999275207519531,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999998,exact,True,0.0009999275207519531,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,30,10,10,0.0,0.9999999999999998,exact,True,0.00099945068359375,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,10,4,4,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,10,4,4,0.0,1.0,exact,True,0.0010001659393310547,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,10,4,4,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,10,4,4,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999996,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999996,exact,True,0.0009999275207519531,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0010006427764892578,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,20,10,10,0.0,0.9999999999999998,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999983,exact,True,0.0010008811950683594,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999983,exact,True,0.0012776851654052734,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999983,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999993,exact,True,0.001008749008178711,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999993,exact,True,0.0009987354278564453,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999993,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999991,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999991,exact,True,0.001001596450805664,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,4,4,30,14,14,0.0,0.9999999999999991,exact,True,0.0,3,2
