experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers,bv_secret
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,6,17,11,0.3529411764705882,0.9999999999999967,exact,True,0.0009851455688476562,5051,5,,,,,,,,,52
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,6,17,5,0.7058823529411764,0.9999999999999973,exact,True,0.0030014514923095703,5051,5,3.0,0.0,0.0,6.0,0.0,0.0,33.0,33.0,52
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,6,17,17,0.0,0.9999999999999962,exact,True,0.0,6051,6,,,,,,,,,25
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,6,17,11,0.3529411764705882,0.9999999999999967,exact,True,0.0009851455688476562,6051,6,,,,,,,,,25
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,6,17,5,0.7058823529411764,0.9999999999999973,exact,True,0.0039920806884765625,6051,6,3.0,0.0,0.0,6.0,0.0,0.0,33.0,33.0,25
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,6,17,17,0.0,0.9999999999999962,exact,True,0.0,7051,7,,,,,,,,,25
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,6,17,11,0.3529411764705882,0.9999999999999967,exact,True,0.002020597457885742,7051,7,,,,,,,,,25
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,6,17,5,0.7058823529411764,0.9999999999999973,exact,True,0.0021522045135498047,7051,7,3.0,0.0,0.0,6.0,0.0,0.0,33.0,33.0,25
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,4,15,15,0.0,0.9999999999999962,exact,True,0.0,8051,8,,,,,,,,,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,4,15,5,0.6666666666666667,0.9999999999999971,exact,True,0.0010004043579101562,8051,8,,,,,,,,,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,4,15,3,0.8,0.9999999999999973,exact,True,0.0010230541229248047,8051,8,1.0,0.0,0.0,6.0,0.0,0.0,12.0,30.0,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,8,19,19,0.0,0.9999999999999962,exact,True,0.0,9051,9,,,,,,,,,61
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,8,19,19,0.0,0.9999999999999962,exact,True,0.0,9051,9,,,,,,,,,61
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,8,19,7,0.631578947368421,0.9999999999999973,exact,True,0.0029938220977783203,9051,9,5.0,0.0,0.0,6.0,0.0,0.0,66.0,16.0,61
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,8,7,10,23,23,0.0,0.9999999999999958,exact,True,0.0011909008026123047,52,0,,,,,,,,,127
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,8,7,10,23,23,0.0,0.9999999999999958,exact,True,0.0,52,0,,,,,,,,,127
