family,n_qubits,param_n,depth,seed,circuit_sha256,gate_reduction,phase1_only_reduction,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
RepetitionCode,6,6,30,1,88b2d60b1de5236fad5a7355ca7a640f8a4c66c4c5ff14b39694a9974734989f,0.4918032786885246,0.4918032786885246,244,5.501258210544727,40.666666666666664,126,21.0,0.5040983606557377,3,0.0,60,0.2459016393442623,0,0.0,0,0.0,0.4918032786885246,95,0.38934426229508196,2.568421052631579,6,1.0
RepetitionCode,8,8,10,1,f07bc520e88218bad6b54116bb4f4894f0d1da55ff9c2ce582ee4e5f592abffc,0.4651162790697675,0.4651162790697675,86,4.465908118654584,10.75,48,6.0,0.5232558139534884,3,0.0,20,0.23255813953488372,0,0.0,0,0.0,0.46511627906976744,37,0.43023255813953487,2.324324324324324,6,1.0
RepetitionCode,8,8,20,1,311c82791a4b09c49e81fa8a6d9df953626fa0737e33222ad882f932b51b1cc2,0.4819277108433735,0.4819277108433735,166,5.117993812416755,20.75,88,11.0,0.5120481927710844,3,0.0,40,0.24096385542168675,0,0.0,0,0.0,0.4819277108433735,67,0.4036144578313253,2.4776119402985075,6,1.0
RepetitionCode,8,8,30,1,1417380ccf6b6ed7d2f04504d989c56315ca22dfdff436258e29f9451e9d4bad,0.4878048780487805,0.4878048780487805,246,5.5093883366279774,30.75,128,16.0,0.508130081300813,3,0.0,60,0.24390243902439024,0,0.0,0,0.0,0.4878048780487805,97,0.3943089430894309,2.536082474226804,6,1.0
TrotterHamiltonian,3,3,10,1,1d083c46c8ebe7a151b48c38ee652d7add80909c5f234795bb1c5d2377528d13,0.0,0.0,60,4.110873864173311,20.0,40,13.333333333333334,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0.0,32,0.5333333333333333,1.875,5,0.3333333333333333
TrotterHamiltonian,3,3,10,2,24985ff20c1ef0e148165cfe309995267910377dffb89d1b10888d9bad6115ed,0.0,0.0,60,4.110873864173311,20.0,40,13.333333333333334,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0.0,27,0.45,2.2222222222222223,5,0.3333333333333333
TrotterHamiltonian,3,3,10,3,c6c6c81b4716ec08f5cb167de8b43f1a29cc2028b5de76b83b8723eeb9daf5a8,0.0,0.0,60,4.110873864173311,20.0,40,13.333333333333334,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0.0,33,0.55,1.8181818181818181,5,0.3333333333333333
TrotterHamiltonian,3,3,20,1,57dd11910783570739099692b4373b44a91a5df5df65450e190a0d235fa218d2,0.0,0.0,120,4.795790545596741,40.0,80,26.666666666666668,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0.0,60,0.5,2.0,5,0.3333333333333333
TrotterHamiltonian,3,3,20,2,70c052ddb6c9adf7182952290feb84461ae873e4d80796df565704ad21316f3a,0.0,0.0,120,4.795790545596741,40.0,80,26.666666666666668,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0.0,54,0.45,2.2222222222222223,5,0.3333333333333333
TrotterHamiltonian,3,3,20,3,bba356260f817ff5add4db226e9eedb056cc5d69302f4dee650f2d2572ebcb16,0.0,0.0,120,4.795790545596741,40.0,80,26.666666666666668,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0.0,59,0.49166666666666664,2.0338983050847457,5,0.3333333333333333
