row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
60,GHZ,8,461901618,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
61,GHZ,8,774414982,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
62,GHZ,8,732395540,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
63,GHZ,8,1934879560,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
64,GHZ,8,279394470,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
65,GHZ,8,56972561,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
66,GHZ,8,1927948675,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
67,GHZ,8,1899242072,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
68,GHZ,8,1999874363,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
69,GHZ,8,271820813,587577f385cf54a3edd3cc639b3ac8cc5aa139f2ef414827515ddc7be4c12104,8,2.1972245773362196,1.0,8,1.0,0.875,2,0.0,0,0.0,0,0.0,0,0.0,0.0,8,1.0,1.0,1,1.0
70,GHZ,10,1324556529,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
71,GHZ,10,1655351289,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
72,GHZ,10,1308306184,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
73,GHZ,10,68574553,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
74,GHZ,10,419498548,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
75,GHZ,10,991681409,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
76,GHZ,10,791274835,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
77,GHZ,10,1035196507,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
78,GHZ,10,1890440558,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
79,GHZ,10,787110843,cbce15eb1526e342a1149fd321914c607bdb5358f204ea506ca9493d50922655,10,2.3978952727983707,1.0,10,1.0,0.9,2,0.0,0,0.0,0,0.0,0,0.0,0.0,10,1.0,1.0,1,1.0
80,CNOT,4,524150214,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
81,CNOT,4,472432043,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
82,CNOT,4,2126768636,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
83,CNOT,4,1431061255,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
84,CNOT,4,147697582,c15ccd1efbe0b71c21464e888a978afbe6b6cf006bd895873c7d9b8e51efbaf0,24,3.2188758248682006,6.0,18,4.5,1.0,1,0.0,12,0.5,0,0.0,0,0.0,1.0,21,0.875,1.1428571428571428,2,1.0
